Date & Time	Document	Draft	Total Words	Average Sentence	Passive Index	Style Index	Bog Index	Reading Grade	Jargon	Glue	Pep	Task	Audience	Author
02 Nov 2019 04:44	homestead_funding_corp_refined.docx	Original	46810	15.1	11	45	45	10.5	1.1	40	14	General Writing	Public	john
02 Nov 2019 04:51	hometrust_mortgage_company_all.docx	Original	709	4.5	7	36	95	12.3	1.1	24	19	General Writing	Public	john
02 Nov 2019 04:52	hometrust_mortgage_company_refined.docx	Original	456	11.1	22	52	66	11.0	0.7	34	16	General Writing	Public	john
02 Nov 2019 04:52	home_financing_center_inc_all.docx	Original	2845	12.0	5	41	44	10.7	1.4	35	16	General Writing	Public	john
02 Nov 2019 04:53	home_financing_center_inc_refined.docx	Original	2604	16.8	7	45	45	12.0	1.0	37	14	General Writing	Public	john
02 Nov 2019 04:57	home_point_financial_corporation_all.docx	Original	109135	12.9	12	47	55	11.2	1.2	35	13	General Writing	Public	john
02 Nov 2019 05:16	home_point_financial_corporation_refined.docx	Original	99275	15.6	15	49	56	12.0	0.9	37	12	General Writing	Public	john
02 Nov 2019 05:31	idaho_housing_and_finance_association_all.docx	Original	62406	10.9	9	50	68	12.5	2.0	31	13	General Writing	Public	john
02 Nov 2019 05:41	idaho_housing_and_finance_association_refined.docx	Original	51797	15.2	15	52	68	13.4	1.5	35	11	General Writing	Public	john
02 Nov 2019 05:49	impact_mortgage_all.docx	Original	8202	8.3	6	56	80	13.8	3.1	28	14	General Writing	Public	john
02 Nov 2019 05:51	impact_mortgage_refined.docx	Original	5780	13.1	13	72	74	14.2	2.8	35	13	General Writing	Public	john
02 Nov 2019 05:53	intercap_lending_inc_dba_suburban_mortgage_company_of_new_mexico_all.docx	Original	30537	9.5	6	34	58	10.6	1.3	31	18	General Writing	Public	john
02 Nov 2019 05:58	intercap_lending_inc_dba_suburban_mortgage_company_of_new_mexico_refined.docx	Original	25743	14.3	11	38	54	11.6	1.1	34	16	General Writing	Public	john
02 Nov 2019 06:02	international_city_mortgage_inc_all.docx	Original	1446	6.7	3	62	44	9.1	1.1	30	20	General Writing	Public	john
02 Nov 2019 06:03	international_city_mortgage_inc_refined.docx	Original	1070	13.7	9	67	43	11.0	0.6	35	21	General Writing	Public	john
02 Nov 2019 06:04	iowa_bankers_mortgage_corporat_all.docx	Original	1502	6.4	2	28	51	11.3	1.6	29	19	General Writing	Public	john
02 Nov 2019 06:04	iowa_bankers_mortgage_corporat_refined.docx	Original	1080	11.9	4	29	49	11.9	1.3	34	16	General Writing	Public	john
02 Nov 2019 06:06	iserve_residential_lending_llc_all.docx	Original	37086	12.0	10	47	54	10.9	1.1	38	17	General Writing	Public	john
02 Nov 2019 06:12	iserve_residential_lending_llc_refined.docx	Original	33615	16.6	15	48	56	12.1	0.8	40	14	General Writing	Public	john
02 Nov 2019 06:18	james_b_nutter_and_company_all.docx	Original	52189	14.2	9	43	49	10.9	1.1	38	16	General Writing	Public	john
02 Nov 2019 06:27	james_b_nutter_and_company_refined.docx	Original	48931	17.2	12	43	50	11.7	0.9	39	14	General Writing	Public	john
02 Nov 2019 06:44	jg_wentworth_home_lending_llc_all.docx	Original	225108	15.4	15	86	74	13.3	5.4	40	16	General Writing	Public	john
02 Nov 2019 07:20	jg_wentworth_home_lending_llc_refined.docx	Original	207496	19.9	21	89	72	14.5	4.3	42	14	General Writing	Public	john
02 Nov 2019 07:49	jmac__lending_inc_all.docx	Original	38292	9.8	13	63	76	12.2	1.8	31	14	General Writing	Public	john
02 Nov 2019 07:55	jmac__lending_inc_refined.docx	Original	32286	13.5	22	69	77	13.0	1.4	35	11	General Writing	Public	john
02 Nov 2019 08:04	kentucky_housing_corporation_all.docx	Original	109931	12.4	13	56	78	13.9	2.1	32	12	General Writing	Public	john
